        Phase Fraction  Guess for r  Count
666  0.865723  187/216          216      1
667  0.866699    13/15           15      2
668  0.867676    59/68           68      1
669  0.868652  205/236          236      2
670  0.869141   93/107          107      1
671  0.870117    67/77           77      2
672  0.871094  196/225          225      1
673  0.871582   95/109          109      1
674  0.872559   89/102          102      2
675  0.873047    55/63           63      1
676  0.873535  221/253          253      2
677  0.874023  111/127          127      1
678  0.874512  223/255          255      4
679  0.875000      7/8            8      1
680  0.875488  218/249          249      1
681  0.876465  149/170          170      2
682  0.877441  179/204          204      3
683  0.877930  187/213          213      1
684  0.878906  196/223          223      1
685  0.879395  175/199          199      1
686  0.879883  205/233          233      1
687  0.881836   97/110          110      2
688  0.882812  113/128          128      3
689  0.884766  215/243          243      1
690  0.885254    54/61           61      1
691  0.885742    31/35           35      1
692  0.886719  180/203          203      1
693  0.887207  118/133          133      1
694  0.887695  166/187          187      2
695  0.889160  225/253          253      1
696  0.890625    57/64           64      1
697  0.891113  221/248          248      1
698  0.891602  181/203          203      2
699  0.893066  142/159          159      1
700  0.893555  193/216          216      1
701  0.896973  148/165          165      1
702  0.897949    44/49           49      1
703  0.904297  189/209          209      1
704  0.905273    86/95           95      1
705  0.907227    88/97           97      1
706  0.907715    59/65           65      1
707  0.909668  141/155          155      1
708  0.910156  152/167          167      1
709  0.916504    11/12           12      1
710  0.916992  232/253          253      1
711  0.918945    34/37           37      1
712  0.921387  211/229          229      1
713  0.927734    77/83           83      1
714  0.931641  109/117          117      1
715  0.933594  225/241          241      2
716  0.934082    85/91           91      1
717  0.935547    29/31           31      1
718  0.938477    61/65           65      1
719  0.939453    31/33           33      1
720  0.940430  221/235          235      1
721  0.941406  225/239          239      1
722  0.941895  227/241          241      1
723  0.942871    33/35           35      1
724  0.943359    50/53           53      1
725  0.944336    17/18           18      1
726  0.945312  121/128          128      1
727  0.946777    89/94           94      1
728  0.950195  229/241          241      1
729  0.951172    39/41           41      2
730  0.951660  197/207          207      1
731  0.956055    87/91           91      1
732  0.957520  203/212          212      1
733  0.960938  123/128          128      1
734  0.962891    26/27           27      1
735  0.963379  184/191          191      2
